CHAMPION,POSITION,GP,P%,B%,P+B%,W%,AGT,KPG,DPG,APG,KDA,KP%,DTH,CKPM,FB%,FBD%,GD10,XPD10,CSD10,CSPM,DPM,DMG%,EGPM,GOLD%
Sona,Support,1,0.1,0.5,1.9,0,29.3,0,4,3,0.8,27.3,22.2,0.99,0,0,285,-131,-8,0.3,270,16.4,70.5,8.1
Soraka,Support,7,0.7,0.4,1.1,42.9,33.6,1,1.9,6.6,4.1,60.2,15.3,0.74,14.3,0,258,293,-3.3,0.4,248,13.9,119.1,11.1
Swain,Top,10,1,1.1,3.2,70,30.7,3.2,1.5,5.8,6,65.7,14.7,0.77,0,10,215,248,4.3,7.6,576,27.4,246.8,19.4
Swain,Middle,10,1,1.1,3.2,60,29.3,2.6,2.3,5.5,3.5,80.2,19.8,0.74,10,20,51,149,1.6,8.8,479,27.5,264.4,22.6
Sylas,Middle,82,8.4,28.5,43.2,57.3,32,3,2.4,5.2,3.5,65.1,20.7,0.75,12.2,7.3,39,91,-0.4,8.4,412,22.9,256.8,22.1
Sylas,Top,59,6.1,28.5,43.2,44.1,31.3,2.3,2.6,4.8,2.7,57.8,21.8,0.78,22,13.6,-147,-28,-4.3,8,378,22.9,241.9,21.5
Sylas,Jungle,2,0.2,28.5,43.2,50,26.1,3,1.5,5,5.3,64,13,0.92,0,0,-60,237,9,5,190,15.2,174.6,17.5
Syndra,ADC,1,0.1,14.3,26.5,100,30.6,3,1,11,14,66.7,6.7,1.18,0,0,281,718,5,10.2,488,26.4,362.9,26.7
Syndra,Middle,118,12.1,14.3,26.5,48.3,34.3,3,2.3,5.1,3.5,65.4,17.9,0.73,16.1,7.6,85,10,4.4,8.6,474,27,252.9,23
Tahm Kench,Support,344,35.3,23.9,59.2,52.9,33.8,0.6,2.4,6.6,3,62.7,22.2,0.66,11,8.4,47,33,3.2,2,106,6,134.7,11.6
Taliyah,Middle,17,1.7,1.6,5.3,41.2,35.5,3.4,2.3,5.4,3.8,67.9,16.4,0.75,17.6,0,8,-96,-1.5,8.4,467,26.4,266.8,22.7
Taliyah,Jungle,16,1.6,1.6,5.3,75,30.1,3.4,1.9,7.4,5.8,73.3,19.2,0.81,25,6.3,-161,91,-1.2,6.1,401,21.5,235.8,19.6
Taliyah,ADC,3,0.3,1.6,5.3,0,31.1,0.3,4,3,0.8,50,25,0.73,33.3,33.3,-756,-172,-52,6.2,289,21.7,229.9,21.7
Talon,Middle,2,0.2,0,0.2,50,31.5,1.5,3,6,2.5,71.4,28.6,0.67,0,0,-153,-314,-6,8.7,277,17.8,241.9,20.7
Taric,Support,16,1.6,5.5,7.2,56.3,29.2,0.7,1.9,7.4,4.3,77.2,16.5,0.75,25,0,326,116,37.8,3.5,89,5.8,145,13.6
Thresh,Support,179,18.4,22.5,40.8,49.2,33.5,0.7,2.6,7.6,3.2,70.2,22.3,0.71,24.6,12.8,2,-52,-4.2,1,120,7.1,109.1,9.7
Tristana,ADC,46,4.7,2.8,7.5,50,33.1,3.9,2,3.2,3.6,67.7,16.9,0.67,26.1,4.3,25,57,0.4,9.8,463,27.8,312,27.6
Trundle,Support,1,0.1,0.1,0.7,0,39.7,1,3,11,4,66.7,14.3,0.98,0,0,197,270,-1,2.5,134,7.4,169.5,13.1
Trundle,Jungle,5,0.5,0.1,0.7,40,30.2,0.2,0.8,3.4,4.5,58.1,10.5,0.46,20,0,46,39,5.3,5.1,89,6,169.1,14.7
